Fecha,Grupo,Producto,Mercado,Precio_kg
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.26
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",4
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",848
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.55
ene-21,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.243
ene-21,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),979
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.408
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",1.394
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",1.376
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",2.01
ene-21,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),3
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",1.823
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Pereira, Mercasa",1.951
ene-21,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),1
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",1.145
ene-21,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.553
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",636
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",627
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",638
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",960
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",547
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),1.012
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",733
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Elena",563
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Cartagena, Bazurto",868
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),858
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",834
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Duitama (Boyacá),655
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",779
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",800
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",656
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Plaza Minorista ""José María Villa""",659
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Montería, Mercado del Sur",297
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),756
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),1
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",900
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",931
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",983
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Rionegro (Antioquia),896
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),763
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",500
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),767
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Sogamoso (Boyacá),625
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),767
ene-21,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",588
