Departamento,Radiación Solar (kWh/m²/día),Temperatura Promedio (°C),Precipitación (mm/año),Población,Horas de Sol (horas/día),Intensidad Radiación (W/m²),Temp. Prom. Mínima (°C),Temp. Prom. Máxima (°C),Humedad Relativa (%),Velocidad Viento (m/s),Dirección Viento (°),Demanda Energética (kWh),Tipo de Consumo Energético,Disponibilidad de Energía Alternativa,poblacion,Ingresos Promedio (COP),Nivel Educativo Promedio (años),% Acceso a Energía (%),% Población Urbana (%),Actividades Económicas Principales,Capacidad Paneles (W/p),Eficiencia (%),Costos Instalación (COP),Costos Mantenimiento (COP),Espacio Disponible (m²),Condiciones del Terreno,Edad Promedio (años),% Niños (< 12 años),% Adultos (12-60 años),% Adultos Mayores (> 60 años),Historial de Proyectos Energéticos
Amazonas,4.8,26.5,3200,"75,000",5.0,400,24,30,85,2.5,90,1500,Residencial,"Solar, Eólica",85000,"1,200,000",9,60,25,"Agricultura, Turismo",300,18,"1,200,000",100,50,"Suelo blando, plano",22,35,55,10,Éxito en proyectos solares comunitarios
Antioquia,4.5,24.0,2000,"6,700,000",4.5,350,18,28,70,3.0,180,8000,"Residencial, Comercial","Solar, Hidroeléctrica","6,500,000","1,800,000",11,95,75,"Industria, Comercio, Servicios",350,20,"1,500,000",120,70,"Suelo firme, ondulado",29,30,55,15,Fracaso en un proyecto hidroeléctrico
Atlántico,5.2,28.0,1200,"1,300,000",5.2,450,22,32,60,3.5,200,5000,Comercial,Solar,"2,400,000","1,600,000",10,90,70,"Comercio, Agricultura, Industria",320,19,"1,300,000",110,60,"Suelo firme, plano",28,28,57,15,Éxito en proyectos de energías renovables
Bolívar,5.0,27.5,1500,"1,200,000",5.0,420,20,30,65,3.2,210,4000,Residencial,Solar,"1,500,000","1,300,000",8,85,40,"Agricultura, Ganadería",280,17,"1,100,000",90,40,"Suelo blando, plano",26,32,53,15,Éxito en energía solar en comunidades rurales
Boyacá,4.0,18.0,1200,"1,200,000",4.0,300,10,20,75,2.0,160,3000,"Residencial, Industrial","Solar, Biomasa","1,200,000","1,100,000",9,75,30,"Agricultura, Minería",300,18,"1,200,000",100,45,"Suelo firme, ondulado",30,27,50,23,Fracaso en un proyecto de biogás
Caldas,4.3,22.0,2500,"900,000",4.3,320,15,25,80,2.5,190,3500,Residencial,Solar,900000,"1,400,000",10,80,50,"Agricultura, Industria",310,19,"1,250,000",95,50,"Suelo firme, plano",31,30,50,20,Éxito en proyectos de eficiencia energética
Caquetá,4.6,27.0,3200,"400,000",4.6,360,22,31,78,2.8,200,2500,Residencial,Eólica,400000,"1,000,000",7,70,20,"Agricultura, Servicios",290,18,"1,100,000",85,30,"Suelo blando, plano",24,40,50,10,Éxito en proyectos de energía solar
Casanare,5.1,25.0,1800,"300,000",5.1,380,20,30,70,3.0,180,2200,Residencial,Solar,500000,"1,300,000",8,75,25,"Agricultura, Petróleo",330,20,"1,400,000",115,60,"Suelo firme, ondulado",27,25,55,20,Éxito en proyectos de energía eólica
Cauca,4.7,21.0,3000,"1,400,000",4.7,340,18,27,82,2.4,170,2700,Residencial,"Solar, Biomasa","1,500,000","1,200,000",9,65,35,"Agricultura, Comercio",300,18,"1,200,000",100,55,"Suelo firme, plano",29,33,52,15,Fracaso en un proyecto hidroeléctrico
Cesar,5.4,28.5,1000,"1,200,000",5.4,460,24,34,65,3.6,200,5000,Comercial,Solar,"1,200,000","1,300,000",8,80,40,"Agricultura, Ganadería",310,19,"1,250,000",90,45,"Suelo firme, ondulado",28,30,54,16,Éxito en proyectos de energías renovables
Córdoba,5.3,29.0,1400,"1,600,000",5.3,450,20,30,65,3.0,180,5000,Residencial,"Solar, Eólica","2,000,000","1,200,000",9,85,45,"Agricultura, Ganadería",340,20,"1,400,000",120,70,"Suelo firme, plano",27,29,52,19,Fracaso en un proyecto de energía solar
Cundinamarca,4.2,19.0,1000,"2,800,000",4.5,350,15,25,75,2.5,160,4500,"Residencial, Comercial",Solar,"2,700,000","2,000,000",11,95,80,"Comercio, Servicios, Industria",350,20,"1,500,000",130,80,"Suelo firme, plano",30,25,55,20,Éxito en proyectos de energía solar
