ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2024,05,"598,738","171,032","1,554.78",Miércoles,05/29/2024 09:00:00 PM,18.53
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANA (ACANDÍ - CHOCÓ),2024,05,"420,977","142,002",878.68,Lunes,05/06/2024 09:30:00 PM,21.41
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2024,05,"17,322","6,530",77.66,lunes,05/25/2024 08:00:00 PM,9.21
27,CHOCÓ,27025,ALTO BAUDO,27025000,CIUDAD BAUDO - PIE DE PATO (ALTO BAUDO - CHOCÓ),2024,05,"56,244","19,018",128.74,Miercoles,05/01/2024 12:00:00 PM,23.42
27,CHOCÓ,27075,BAHÍA SOLANO,27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2024,05,"874,026","247,553","1,664.96",Miercoles,05/01/2024 11:15:00 AM,23.44
27,CHOCÓ,27075,BAHÍA SOLANO,27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2024,05,"188,024","68,687",378.05,Lunes,05/27/2024 07:00:00 PM,23.18
27,CHOCÓ,27077,BAJO BAUDÓ,27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,05,"3,552","1,341",17.44,Lunes,05/06/2024 07:45:00 PM,8
27,CHOCÓ,27077,BAJO BAUDÓ,27077029,FIRME DE USARGA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,05,836,359,7.01,Viernes,05/17/2024 08:15:00 PM,5.16
27,CHOCÓ,27077,BAJO BAUDÓ,27077026,GUINEAL (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,05,"4,866","1,370",37.38,Viernes,05/17/2024 07:00:00 PM,6.13
27,CHOCÓ,27077,BAJO BAUDÓ,27077008,ORPUA (BAJO BAUDÓ - CHOCÓ),2024,05,705,288,5.71,Lunes,05/13/2024 06:00:00 PM,7.3
