-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,2010,2.25,-75.75,102.08,89.02,83.98,90.15,85.23,81.91,84.47,76.58,87.56,83.82,81.74,80.05,85.52
ALLSKY_SFC_PAR_TOT,2010,2.25,-76.25,92.62,79.01,79.34,78.54,75.28,72.7,74.35,72.84,79.16,78.36,69.99,69.12,76.77
ALLSKY_SFC_PAR_TOT,2010,2.25,-76.75,92.62,79.01,79.34,78.54,75.28,72.7,74.35,72.84,79.16,78.36,69.99,69.12,76.77
ALLSKY_SFC_PAR_TOT,2010,2.25,-77.25,83.15,74.2,79.24,84.73,77.2,76.23,75.1,77.09,78.02,73.97,65.92,68.88,76.16
ALLSKY_SFC_PAR_TOT,2010,2.25,-77.75,83.15,74.2,79.24,84.73,77.2,76.23,75.1,77.09,78.02,73.97,65.92,68.88,76.16
ALLSKY_SFC_PAR_TOT,2010,2.25,-78.25,85.33,83.99,90.6,90.86,85.35,80.61,77.4,79.55,77.45,78.12,69.56,72.31,80.91
ALLSKY_SFC_PAR_TOT,2010,2.25,-78.75,85.33,83.99,90.6,90.86,85.35,80.61,77.4,79.55,77.45,78.12,69.56,72.31,80.91
ALLSKY_SFC_PAR_TOT,2010,2.25,-79.25,77.99,83.45,82.52,87.48,85.91,75.94,72.91,82.49,83.55,88.15,81.18,69.48,80.89
ALLSKY_SFC_PAR_TOT,2010,2.75,-75.75,102.08,89.02,83.98,90.15,85.23,81.91,84.47,76.58,87.56,83.82,81.74,80.05,85.52
ALLSKY_SFC_PAR_TOT,2010,2.75,-76.25,92.62,79.01,79.34,78.54,75.28,72.7,74.35,72.84,79.16,78.36,69.99,69.12,76.77
ALLSKY_SFC_PAR_TOT,2010,2.75,-76.75,92.62,79.01,79.34,78.54,75.28,72.7,74.35,72.84,79.16,78.36,69.99,69.12,76.77
ALLSKY_SFC_PAR_TOT,2010,2.75,-77.25,83.15,74.2,79.24,84.73,77.2,76.23,75.1,77.09,78.02,73.97,65.92,68.88,76.16
ALLSKY_SFC_PAR_TOT,2010,2.75,-77.75,83.15,74.2,79.24,84.73,77.2,76.23,75.1,77.09,78.02,73.97,65.92,68.88,76.16
ALLSKY_SFC_PAR_TOT,2010,2.75,-78.25,85.33,83.99,90.6,90.86,85.35,80.61,77.4,79.55,77.45,78.12,69.56,72.31,80.91
ALLSKY_SFC_PAR_TOT,2010,2.75,-78.75,85.33,83.99,90.6,90.86,85.35,80.61,77.4,79.55,77.45,78.12,69.56,72.31,80.91
ALLSKY_SFC_PAR_TOT,2010,2.75,-79.25,77.99,83.45,82.52,87.48,85.91,75.94,72.91,82.49,83.55,88.15,81.18,69.48,80.89
ALLSKY_SFC_PAR_TOT,2010,3.25,-75.75,107.7,96.22,92.16,93.84,96.51,93.36,92.72,84.53,88.48,91.02,86.82,87.73,92.59
ALLSKY_SFC_PAR_TOT,2010,3.25,-76.25,85.27,80.17,83.58,81.06,78.98,77.38,75.79,76.3,79.49,81.27,73.3,71.2,78.65
ALLSKY_SFC_PAR_TOT,2010,3.25,-76.75,85.27,80.17,83.58,81.06,78.98,77.38,75.79,76.3,79.49,81.27,73.3,71.2,78.65
ALLSKY_SFC_PAR_TOT,2010,3.25,-77.25,82.88,79.79,86.88,90.68,80.86,85.06,80.8,81.73,80.05,75.7,71.5,75.95,80.99
ALLSKY_SFC_PAR_TOT,2010,3.25,-77.75,82.88,79.79,86.88,90.68,80.86,85.06,80.8,81.73,80.05,75.7,71.5,75.95,80.99
ALLSKY_SFC_PAR_TOT,2010,3.25,-78.25,80.48,81.16,81.62,86.08,78.05,78.75,69.48,73.88,72.05,69.29,70.2,64.27,75.38
ALLSKY_SFC_PAR_TOT,2010,3.25,-78.75,80.48,81.16,81.62,86.08,78.05,78.75,69.48,73.88,72.05,69.29,70.2,64.27,75.38
ALLSKY_SFC_PAR_TOT,2010,3.25,-79.25,79.23,89.26,80.43,84.62,79.73,72.72,70.79,77.75,74.32,84.49,77.47,61.85,77.63
ALLSKY_SFC_PAR_TOT,2010,3.75,-75.75,107.7,96.22,92.16,93.84,96.51,93.36,92.72,84.53,88.48,91.02,86.82,87.73,92.59
ALLSKY_SFC_PAR_TOT,2010,3.75,-76.25,85.27,80.17,83.58,81.06,78.98,77.38,75.79,76.3,79.49,81.27,73.3,71.2,78.65
ALLSKY_SFC_PAR_TOT,2010,3.75,-76.75,85.27,80.17,83.58,81.06,78.98,77.38,75.79,76.3,79.49,81.27,73.3,71.2,78.65
ALLSKY_SFC_PAR_TOT,2010,3.75,-77.25,82.88,79.79,86.88,90.68,80.86,85.06,80.8,81.73,80.05,75.7,71.5,75.95,80.99
ALLSKY_SFC_PAR_TOT,2010,3.75,-77.75,82.88,79.79,86.88,90.68,80.86,85.06,80.8,81.73,80.05,75.7,71.5,75.95,80.99
ALLSKY_SFC_PAR_TOT,2010,3.75,-78.25,80.48,81.16,81.62,86.08,78.05,78.75,69.48,73.88,72.05,69.29,70.2,64.27,75.38
ALLSKY_SFC_PAR_TOT,2010,3.75,-78.75,80.48,81.16,81.62,86.08,78.05,78.75,69.48,73.88,72.05,69.29,70.2,64.27,75.38
ALLSKY_SFC_PAR_TOT,2010,3.75,-79.25,79.23,89.26,80.43,84.62,79.73,72.72,70.79,77.75,74.32,84.49,77.47,61.85,77.63
ALLSKY_SFC_PAR_TOT,2010,4.25,-75.75,101.93,96.2,93.22,89.86,93.88,91.08,88.77,88.37,89.95,89.62,81.94,81.02,90.46
ALLSKY_SFC_PAR_TOT,2010,4.25,-76.25,76.68,74.28,81.77,82.53,83.73,82.02,81.11,84.24,83.13,82.27,74.92,73.43,80.05
ALLSKY_SFC_PAR_TOT,2010,4.25,-76.75,76.68,74.28,81.77,82.53,83.73,82.02,81.11,84.24,83.13,82.27,74.92,73.43,80.05
ALLSKY_SFC_PAR_TOT,2010,4.25,-77.25,82.67,73.9,85.4,85.34,82.59,85.48,81.27,86.61,82.27,72.48,72.78,73.88,80.43
ALLSKY_SFC_PAR_TOT,2010,4.25,-77.75,82.67,73.9,85.4,85.34,82.59,85.48,81.27,86.61,82.27,72.48,72.78,73.88,80.43
ALLSKY_SFC_PAR_TOT,2010,4.25,-78.25,80.1,75.61,81.23,81.73,78.3,75.22,69.02,74.77,65.83,63.47,65.91,60.42,72.62
ALLSKY_SFC_PAR_TOT,2010,4.25,-78.75,80.1,75.61,81.23,81.73,78.3,75.22,69.02,74.77,65.83,63.47,65.91,60.42,72.62
ALLSKY_SFC_PAR_TOT,2010,4.25,-79.25,85.64,88.16,84.06,88.35,77.84,72.18,72.08,73.03,68.71,75.45,73.21,60.66,76.53
ALLSKY_SFC_PAR_TOT,2010,4.75,-75.75,101.93,96.2,93.22,89.86,93.88,91.08,88.77,88.37,89.95,89.62,81.94,81.02,90.46
ALLSKY_SFC_PAR_TOT,2010,4.75,-76.25,76.68,74.28,81.77,82.53,83.73,82.02,81.11,84.24,83.13,82.27,74.92,73.43,80.05
ALLSKY_SFC_PAR_TOT,2010,4.75,-76.75,76.68,74.28,81.77,82.53,83.73,82.02,81.11,84.24,83.13,82.27,74.92,73.43,80.05
ALLSKY_SFC_PAR_TOT,2010,4.75,-77.25,82.67,73.9,85.4,85.34,82.59,85.48,81.27,86.61,82.27,72.48,72.78,73.88,80.43
ALLSKY_SFC_PAR_TOT,2010,4.75,-77.75,82.67,73.9,85.4,85.34,82.59,85.48,81.27,86.61,82.27,72.48,72.78,73.88,80.43
ALLSKY_SFC_PAR_TOT,2010,4.75,-78.25,80.1,75.61,81.23,81.73,78.3,75.22,69.02,74.77,65.83,63.47,65.91,60.42,72.62
ALLSKY_SFC_PAR_TOT,2010,4.75,-78.75,80.1,75.61,81.23,81.73,78.3,75.22,69.02,74.77,65.83,63.47,65.91,60.42,72.62
