Fecha,Grupo,Producto,Mercado,Precio_kg
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.089
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",2.961
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",535
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.5
ene-18,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.008
ene-18,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),1
ene-18,VERDURAS Y HORTALIZAS,Acelga,Florencia (Caquetá),1.538
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.112
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",1
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",1.645
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",1.822
ene-18,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),2
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",1.531
ene-18,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),1
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",888
ene-18,VERDURAS Y HORTALIZAS,Acelga,Ubaté (Cundinamarca),750
ene-18,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.068
ene-18,VERDURAS Y HORTALIZAS,Ahuyama,Arauca (Arauca),1
ene-18,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",864
ene-18,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",643
ene-18,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",650
ene-18,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",991
