Fecha,Grupo,Producto,Mercado,Precio_kg
ene-13,CARNES,"Carne de cerdo, espinazo","Manizales, Centro Galerías",7000.0
ene-13,CARNES,"Carne de cerdo, lomo sin hueso","Manizales, Centro Galerías",1300.0
ene-13,CARNES,"Carne de cerdo, pernil sin hueso","Manizales, Centro Galerías",1100.0
ene-13,CARNES,"Carne de cerdo, tocino papada","Manizales, Centro Galerías",8000.0
ene-13,FRUTAS,Banano criollo,"Manizales, Centro Galerías",495.0
ene-13,FRUTAS,Coco,"Manizales, Centro Galerías",1570.0
ene-13,FRUTAS,Fresa,"Manizales, Centro Galerías",3744.0
ene-13,FRUTAS,Granadilla,"Manizales, Centro Galerías",2107.0
ene-13,FRUTAS,Guanábana,"Manizales, Centro Galerías",1998.0
ene-13,FRUTAS,Guayaba agria,"Manizales, Centro Galerías",2126.0
ene-13,FRUTAS,Guayaba manzana,"Manizales, Centro Galerías",1381.0
ene-13,FRUTAS,Guayaba pera,"Manizales, Centro Galerías",1027.0
ene-13,FRUTAS,Kiwi,"Manizales, Centro Galerías",4558.0
ene-13,FRUTAS,Limón Tahití,"Manizales, Centro Galerías",702.0
ene-13,FRUTAS,Lulo,"Manizales, Centro Galerías",1700.0
ene-13,FRUTAS,Mandarina Oneco,"Manizales, Centro Galerías",1416.0
ene-13,FRUTAS,Mango Tommy,"Manizales, Centro Galerías",1144.0
ene-13,FRUTAS,Manzana roja importada,"Manizales, Centro Galerías",3751.0
ene-13,FRUTAS,Manzana royal gala importada,"Manizales, Centro Galerías",4030.0000000000005
ene-13,FRUTAS,Manzana verde importada,"Manizales, Centro Galerías",4267.0
ene-13,FRUTAS,Maracuyá,"Manizales, Centro Galerías",1256.0
ene-13,FRUTAS,Melón Cantalup,"Manizales, Centro Galerías",1394.0
ene-13,FRUTAS,Mora de Castilla,"Manizales, Centro Galerías",2506.0
ene-13,FRUTAS,Naranja Valencia,"Manizales, Centro Galerías",590.0
ene-13,FRUTAS,Papaya Maradol,"Manizales, Centro Galerías",1025.0
ene-13,FRUTAS,Pera importada,"Manizales, Centro Galerías",3665.0
ene-13,FRUTAS,Piña gold,"Manizales, Centro Galerías",1653.0
ene-13,FRUTAS,Tangelo,"Manizales, Centro Galerías",1578.0
ene-13,FRUTAS,Tomate de árbol,"Manizales, Centro Galerías",854.0
ene-13,FRUTAS,Uva red globe nacional,"Manizales, Centro Galerías",3681.0
ene-13,GRANOS Y CEREALES,Arroz de primera,"Manizales, Centro Galerías",2619.0
ene-13,GRANOS Y CEREALES,Arveja verde seca importada,"Manizales, Centro Galerías",1708.0
ene-13,GRANOS Y CEREALES,Fríjol cargamanto rojo,"Manizales, Centro Galerías",4667.0
ene-13,GRANOS Y CEREALES,Lenteja importada,"Manizales, Centro Galerías",1811.0
ene-13,GRANOS Y CEREALES,Maíz amarillo cáscara,"Manizales, Centro Galerías",981.0
ene-13,GRANOS Y CEREALES,Maíz blanco trillado,"Manizales, Centro Galerías",1229.0
ene-13,LACTEOS Y HUEVOS,Huevo blanco A,"Manizales, Centro Galerías",210.0
ene-13,LACTEOS Y HUEVOS,Huevo blanco AA,"Manizales, Centro Galerías",222.0
ene-13,LACTEOS Y HUEVOS,Huevo blanco extra,"Manizales, Centro Galerías",250.0
ene-13,LACTEOS Y HUEVOS,Queso campesino,"Manizales, Centro Galerías",6575.0
ene-13,LACTEOS Y HUEVOS,Queso costeño,"Manizales, Centro Galerías",8930.0
ene-13,PESCADOS,Bocachico importado congelado,"Manizales, Centro Galerías",6013.0
ene-13,PROCESADOS,Azúcar sulfitada,"Manizales, Centro Galerías",1519.0
ene-13,PROCESADOS,Café molido,"Manizales, Centro Galerías",1523.3
ene-13,PROCESADOS,Chocolate amargo,"Manizales, Centro Galerías",1671.6999999999998
ene-13,PROCESADOS,Gelatina,"Manizales, Centro Galerías",9124.0
ene-13,PROCESADOS,Harina de trigo,"Manizales, Centro Galerías",1900.0
ene-13,PROCESADOS,Harina precocida de maíz,"Manizales, Centro Galerías",2662.0
ene-13,PROCESADOS,Manteca,"Manizales, Centro Galerías",4460.0
ene-13,PROCESADOS,Margarina,"Manizales, Centro Galerías",8600.0
ene-13,PROCESADOS,Panela redonda morena,"Manizales, Centro Galerías",1767.0
ene-13,PROCESADOS,Sal yodada,"Manizales, Centro Galerías",797.0
ene-13,PROCESADOS,Sardinas en lata,"Manizales, Centro Galerías",6406.0
ene-13,"TUBERCULOS, RAICES Y PLATANOS",Arracacha blanca,"Manizales, Centro Galerías",1304.0
ene-13,"TUBERCULOS, RAICES Y PLATANOS",Papa capira,"Manizales, Centro Galerías",506.0
ene-13,"TUBERCULOS, RAICES Y PLATANOS",Papa criolla limpia,"Manizales, Centro Galerías",1711.0
